UNI_NUM,BNS_NUM,BNS_SYM,OG_NUM,OG_SYM
1480,192.250,P6/mc'c',192.8.1483,P6/mc'c'
1481,192.251,P6/m'c'c',192.9.1484,P6/m'c'c'
1482,192.252,P_c6/mcc,191.13.1475,P_2c6/mm'm'
1483,193.253,P6_3/mcm,193.1.1485,P6_3/mcm
1484,193.254,P6_3/mcm1',193.2.1486,P6_3/mcm1'
1485,193.255,P6_3/m'cm,193.3.1487,P6_3/m'cm
1486,193.256,P6_3'/mc'm,193.4.1488,P6_3'/mc'm
1487,193.257,P6_3'/mcm',193.5.1489,P6_3'/mcm'
1488,193.258,P6_3'/m'c'm,193.6.1490,P6_3'/m'c'm
1489,193.259,P6_3'/m'cm',193.7.1491,P6_3'/m'cm'
1490,193.260,P6_3/mc'm',193.8.1492,P6_3/mc'm'
1491,193.261,P6_3/m'c'm',193.9.1493,P6_3/m'c'm'
1492,193.262,P_c6_3/mcm,191.11.1473,P_2c6'/mm'm
1493,194.263,P6_3/mmc,194.1.1494,P6_3/mmc
1494,194.264,P6_3/mmc1',194.2.1495,P6_3/mmc1'
1495,194.265,P6_3/m'mc,194.3.1496,P6_3/m'mc
1496,194.266,P6_3'/mm'c,194.4.1497,P6_3'/mm'c
1497,194.267,P6_3'/mmc',194.5.1498,P6_3'/mmc'
1498,194.268,P6_3'/m'm'c,194.6.1499,P6_3'/m'm'c
1499,194.269,P6_3'/m'mc',194.7.1500,P6_3'/m'mc'
1500,194.270,P6_3/mm'c',194.8.1501,P6_3/mm'c'
1501,194.271,P6_3/m'm'c',194.9.1502,P6_3/m'm'c'
1502,194.272,P_c6_3/mmc,191.12.1474,P_2c6'/mmm'
1503,195.1,P23,195.1.1503,P23
1504,195.2,P231',195.2.1504,P231'
1505,195.3,P_I23,197.3.1510,I_P23
1506,196.4,F23,196.1.1506,F23
1507,196.5,F231',196.2.1507,F231'
1508,196.6,F_S23,195.3.1505,P_F23
1509,197.7,I23,197.1.1508,I23
1510,197.8,I231',197.2.1509,I231'
1511,198.9,P2_13,198.1.1511,P2_13
1512,198.10,P2_131',198.2.1512,P2_131'
1513,198.11,P_I2_13,199.3.1515,I_P2_13
1514,199.12,I2_13,199.1.1513,I2_13
1515,199.13,I2_131',199.2.1514,I2_131'
1516,200.14,Pm-3,200.1.1516,Pm-3
1517,200.15,Pm-31',200.2.1517,Pm-31'
1518,200.16,Pm'-3',200.3.1518,Pm'-3'
1519,200.17,P_Im-3,204.4.1533,I_Pm-3
1520,201.18,Pn-3,201.1.1520,Pn-3
1521,201.19,Pn-31',201.2.1521,Pn-31'
1522,201.20,Pn'-3',201.3.1522,Pn'-3'
1523,201.21,P_In-3,204.5.1534,I_Pm'-3'
1524,202.22,Fm-3,202.1.1524,Fm-3
1525,202.23,Fm-31',202.2.1525,Fm-31'
1526,202.24,Fm'-3',202.3.1526,Fm'-3'
1527,202.25,F_Sm-3,200.4.1519,P_Fm-3
1528,203.26,Fd-3,203.1.1527,Fd-3
1529,203.27,Fd-31',203.2.1528,Fd-31'
1530,203.28,Fd'-3',203.3.1529,Fd'-3'
1531,203.29,F_Sd-3,201.4.1523,P_Fn-3
1532,204.30,Im-3,204.1.1530,Im-3
1533,204.31,Im-31',204.2.1531,Im-31'
1534,204.32,Im'-3',204.3.1532,Im'-3'
1535,205.33,Pa-3,205.1.1535,Pa-3
1536,205.34,Pa-31',205.2.1536,Pa-31'
1537,205.35,Pa'-3',205.3.1537,Pa'-3'
1538,205.36,P_Ia-3,206.4.1541,I_Pa-3'
1539,206.37,Ia-3,206.1.1538,Ia-3
1540,206.38,Ia-31',206.2.1539,Ia-31'
1541,206.39,Ia'-3',206.3.1540,Ia'-3'
1542,207.40,P432,207.1.1542,P432
1543,207.41,P4321',207.2.1543,P4321'
1544,207.42,P4'32',207.3.1544,P4'32'
1545,207.43,P_I432,211.4.1559,I_P432
1546,208.44,P4_232,208.1.1546,P4_232
1547,208.45,P4_2321',208.2.1547,P4_2321'
1548,208.46,P4_2'32',208.3.1548,P4_2'32'
1549,208.47,P_I4_232,211.5.1560,I_P4'32'
1550,209.48,F432,209.1.1550,F432
1551,209.49,F4321',209.2.1551,F4321'
1552,209.50,F4'32',209.3.1552,F4'32'
1553,209.51,F_S432,207.4.1545,P_F432
1554,210.52,F4_132,210.1.1553,F4_132
1555,210.53,F4_1321',210.2.1554,F4_1321'
1556,210.54,F4_1'32',210.3.1555,F4_1'32'
1557,210.55,F_S4_132,208.4.1549,P_F4_232
1558,211.56,I432,211.1.1556,I432
1559,211.57,I4321',211.2.1557,I4321'
1560,211.58,I4'32',211.3.1558,I4'32'
1561,212.59,P4_332,212.1.1561,P4_332
1562,212.60,P4_3321',212.2.1562,P4_3321'
1563,212.61,P4_3'32',212.3.1563,P4_3'32'
1564,212.62,P_I4_332,214.4.1570,I_P4_132
1565,213.63,P4_132,213.1.1564,P4_132
1566,213.64,P4_1321',213.2.1565,P4_1321'
1567,213.65,P4_1'32',213.3.1566,P4_1'32'
1568,213.66,P_I4_132,214.5.1571,I_P4_1'32'
1569,214.67,I4_132,214.1.1567,I4_132
1570,214.68,I4_1321',214.2.1568,I4_1321'
1571,214.69,I4_1'32',214.3.1569,I4_1'32'
1572,215.70,P-43m,215.1.1572,P-43m
1573,215.71,P-43m1',215.2.1573,P-43m1'
1574,215.72,P-4'3m',215.3.1574,P-4'3m'
1575,215.73,P_I-43m,217.4.1583,I_P-43m
1576,216.74,F-43m,216.1.1577,F-43m
1577,216.75,F-43m1',216.2.1578,F-43m1'
1578,216.76,F-4'3m',216.3.1579,F-4'3m'
1579,216.77,F_S-43m,215.4.1575,P_F-43m
1580,217.78,I-43m,217.1.1580,I-43m
1581,217.79,I-43m1',217.2.1581,I-43m1'
1582,217.80,I-4'3m',217.3.1582,I-4'3m'
1583,218.81,P-43n,218.1.1585,P-43n
1584,218.82,P-43n1',218.2.1586,P-43n1'
1585,218.83,P-4'3n',218.3.1587,P-4'3n'
1586,218.84,P_I-43n,217.5.1584,I_P-4'3m'
1587,219.85,F-43c,219.1.1588,F-43c
1588,219.86,F-43c1',219.2.1589,F-43c1'
1589,219.87,F-4'3c',219.3.1590,F-4'3c'
1590,219.88,F_S-43c,215.5.1576,P_F-4'3m'
1591,220.89,I-43d,220.1.1591,I-43d
1592,220.90,I-43d1',220.2.1592,I-43d1'
1593,220.91,I-4'3d',220.3.1593,I-4'3d'
1594,221.92,Pm-3m,221.1.1594,Pm-3m
1595,221.93,Pm-3m1',221.2.1595,Pm-3m1'
1596,221.94,Pm'-3'm,221.3.1596,Pm'-3'm
1597,221.95,Pm-3m',221.4.1597,Pm-3m'
1598,221.96,Pm'-3'm',221.5.1598,Pm'-3'm'
1599,221.97,P_Im-3m,229.6.1643,I_Pm-3m
1600,222.98,Pn-3n,222.1.1601,Pn-3n
1601,222.99,Pn-3n1',222.2.1602,Pn-3n1'
1602,222.100,Pn'-3'n,222.3.1603,Pn'-3'n
1603,222.101,Pn-3n',222.4.1604,Pn-3n'
1604,222.102,Pn'-3'n',222.5.1605,Pn'-3'n'
1605,222.103,P_In-3n,229.9.1646,I_Pm'-3'm'
1606,223.104,Pm-3n,223.1.1606,Pm-3n
1607,223.105,Pm-3n1',223.2.1607,Pm-3n1'
1608,223.106,Pm'-3'n,223.3.1608,Pm'-3'n
1609,223.107,Pm-3n',223.4.1609,Pm-3n'
1610,223.108,Pm'-3'n',223.5.1610,Pm'-3'n'
1611,223.109,P_Im-3n,229.8.1645,I_Pm-3m'
1612,224.110,Pn-3m,224.1.1611,Pn-3m
1613,224.111,Pn-3m1',224.2.1612,Pn-3m1'
1614,224.112,Pn'-3'm,224.3.1613,Pn'-3'm
1615,224.113,Pn-3m',224.4.1614,Pn-3m'
1616,224.114,Pn'-3'm',224.5.1615,Pn'-3'm'
1617,224.115,P_In-3m,229.7.1644,I_Pm'-3'm
1618,225.116,Fm-3m,225.1.1618,Fm-3m
1619,225.117,Fm-3m1',225.2.1619,Fm-3m1'
1620,225.118,Fm'-3'm,225.3.1620,Fm'-3'm
1621,225.119,Fm-3m',225.4.1621,Fm-3m'
1622,225.120,Fm'-3'm',225.5.1622,Fm'-3'm'
1623,225.121,F_Sm-3m,221.6.1599,P_Fm-3m
1624,226.122,Fm-3c,226.1.1623,Fm-3c
1625,226.123,Fm-3c1',226.2.1624,Fm-3c1'
1626,226.124,Fm'-3'c,226.3.1625,Fm'-3'c
1627,226.125,Fm-3c',226.4.1626,Fm-3c'
1628,226.126,Fm'-3'c',226.5.1627,Fm'-3'c'
1629,226.127,F_Sm-3c,221.7.1600,P_Fm-3m'
1630,227.128,Fd-3m,227.1.1628,Fd-3m
1631,227.129,Fd-3m1',227.2.1629,Fd-3m1'
1632,227.130,Fd'-3'm,227.3.1630,Fd'-3'm
1633,227.131,Fd-3m',227.4.1631,Fd-3m'
1634,227.132,Fd'-3'm',227.5.1632,Fd'-3'm'
1635,227.133,F_Sd-3m,224.6.1616,P_Fn-3m
1636,228.134,Fd-3c,228.1.1633,Fd-3c
1637,228.135,Fd-3c1',228.2.1634,Fd-3c1'
1638,228.136,Fd'-3'c,228.3.1635,Fd'-3'c
1639,228.137,Fd-3c',228.4.1636,Fd-3c'
1640,228.138,Fd'-3'c',228.5.1637,Fd'-3'c'
1641,228.139,F_Sd-3c,224.7.1617,P_Fn-3m'
1642,229.140,Im-3m,229.1.1638,Im-3m
1643,229.141,Im-3m1',229.2.1639,Im-3m1'
1644,229.142,Im'-3'm,229.3.1640,Im'-3'm
1645,229.143,Im-3m',229.4.1641,Im-3m'
1646,229.144,Im'-3'm',229.5.1642,Im'-3'm'
1647,230.145,Ia-3d,230.1.1647,Ia-3d
1648,230.146,Ia-3d1',230.2.1648,Ia-3d1'
1649,230.147,Ia'-3'd,230.3.1649,Ia'-3'd
1650,230.148,Ia-3d',230.4.1650,Ia-3d'
1651,230.149,Ia'-3'd',230.5.1651,Ia'-3'd'
